2026-05-29 12:55:02 | INFO | __main__ | Final trace: StateSnapshot(values={'messages': [HumanMessage(content='как назывались мишки из Звездных войн?', additional_kwargs={}, response_metadata={}, id='0c33da34-6645-4661-baa6-9e691b6516c7'), AIMessage(content='По этой теме я не поддерживаю диалог.', additional_kwargs={'functions_state_id': '019e7328-8c61-7b7f-b207-924de65780a8'}, response_metadata={'token_usage': {'prompt_tokens': 182, 'completion_tokens': 14, 'total_tokens': 196, 'precached_prompt_tokens': 2}, 'model_name': 'GigaChat-2-Max:2.0.28.2', 'x_headers': {'x-request-id': 'b01371e0-083d-4706-8f4a-0b86ebc47b79', 'x-session-id': 'edca0a0b-296f-42f3-a6ad-85d790e624d5', 'x-client-id': None}, 'finish_reason': 'stop'}, name='SupportDialogAgent', id='b01371e0-083d-4706-8f4a-0b86ebc47b79', tool_calls=[], invalid_tool_calls=[], usage_metadata={'input_tokens': 182, 'output_tokens': 14, 'total_tokens': 196, 'input_token_details': {'cache_read': 2}}), AIMessage(content=' 保存', additional_kwargs={}, response_metadata={'token_usage': {'prompt_tokens': 266, 'completion_tokens': 2, 'total_tokens': 268, 'precached_prompt_tokens': 2}, 'model_name': 'GigaChat-2-Max:2.0.28.2', 'x_headers': {'x-request-id': '751f469d-abe6-4521-a953-f5c64f014e99', 'x-session-id': 'a89af53f-8e47-4f71-9cd4-b2ba343209e4', 'x-client-id': None}, 'finish_reason': 'stop'}, name='SupportDialogAgent', id='751f469d-abe6-4521-a953-f5c64f014e99', tool_calls=[], invalid_tool_calls=[], usage_metadata={'input_tokens': 266, 'output_tokens': 2, 'total_tokens': 268, 'input_token_details': {'cache_read': 2}})], 'ticket_id': 'TICKET-LOCAL-001', 'user_text': 'как назывались мишки из Звездных войн?', 'category': 'other', 'is_complaint': False, 'urgency': 'low', 'final_response': 'По этой теме я не поддерживаю диалог.', 'completeness': 0.0, 'politeness': 1.0, 'relevance': 0.0, 'quality_score': 0.0, 'evaluation_notes': 'Ответ пустой, отсутствует какая-либо информация.', 'quality_threshold': 0.75, 'model_retry_count': 1, 'max_model_retries': 1, 'escalated': False, 'escalation_reason': None, 'errors': [], 'events': [{'timestamp': '2026-05-29T09:54:51.437727+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'ReceiveRequest', 'event': 'request_received', 'payload': {'ticket_id': 'TICKET-LOCAL-001'}}, {'timestamp': '2026-05-29T09:54:54.583316+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'ClassifyCategory', 'event': 'classification_done', 'payload': {'category': 'other'}}, {'timestamp': '2026-05-29T09:54:54.046957+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'ClassifyComplaint', 'event': 'classification_done', 'payload': {'is_complaint': False}}, {'timestamp': '2026-05-29T09:54:54.221656+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'ClassifyUrgency', 'event': 'classification_done', 'payload': {'urgency': 'low'}}, {'timestamp': '2026-05-29T09:54:54.585296+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'GatherClassifications', 'event': 'gather_completed', 'payload': {'is_complaint': False, 'category': 'other', 'urgency': 'low'}}, {'timestamp': '2026-05-29T09:54:51.437727+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'ReceiveRequest', 'event': 'request_received', 'payload': {'ticket_id': 'TICKET-LOCAL-001'}}, {'timestamp': '2026-05-29T09:54:54.583316+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'ClassifyCategory', 'event': 'classification_done', 'payload': {'category': 'other'}}, {'timestamp': '2026-05-29T09:54:54.046957+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'ClassifyComplaint', 'event': 'classification_done', 'payload': {'is_complaint': False}}, {'timestamp': '2026-05-29T09:54:54.221656+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'ClassifyUrgency', 'event': 'classification_done', 'payload': {'urgency': 'low'}}, {'timestamp': '2026-05-29T09:54:54.585296+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'GatherClassifications', 'event': 'gather_completed', 'payload': {'is_complaint': False, 'category': 'other', 'urgency': 'low'}}, {'timestamp': '2026-05-29T09:54:59.366951+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'DialogAgent', 'event': 'quality_retry_requested', 'payload': {'quality_score': 0.0, 'threshold': 0.75, 'retry_count': 1, 'notes': 'Ответ не содержит полезной информации, никак не помогает пользователю.'}}, {'timestamp': '2026-05-29T09:55:02.355690+00:00', 'ticket_id': 'TICKET-LOCAL-001', 'node': 'DialogAgent', 'event': 'quality_ok', 'payload': {'quality_score': 0.0, 'threshold': 0.75, 'retry_count': 1}}]}, next=(), config={'configurable': {'thread_id': 'TICKET-LOCAL-001', 'checkpoint_ns': '', 'checkpoint_id': '1f15b447-62a8-6cf4-8005-ad18ed6cde3e'}}, metadata={'source': 'loop', 'step': 5, 'parents': {}}, created_at='2026-05-29T09:55:02.359971+00:00', parent_config={'configurable': {'thread_id': 'TICKET-LOCAL-001', 'checkpoint_ns': '', 'checkpoint_id': '1f15b447-62a4-64e2-8004-fd17daa2e81d'}}, tasks=(), interrupts=())
2026-05-29 13:15:01 | INFO | support_agent.graph | ReceiveRequest node started for ticket=TICKET-C001
2026-05-29 13:15:01 | INFO | support_agent.graph | ClassifyCategory node started for ticket=TICKET-C001
2026-05-29 13:15:01 | INFO | support_agent.graph | ClassifyComplaint node started for ticket=TICKET-C001
2026-05-29 13:15:01 | INFO | support_agent.graph | ClassifyUrgency node started for ticket=TICKET-C001
2026-05-29 13:15:04 | INFO | support_agent.graph | ClassifyCategory node completed for ticket=TICKET-C001 with category=technical_question
2026-05-29 13:15:04 | INFO | support_agent.graph | ClassifyUrgency node completed for ticket=TICKET-C001 with urgency=high
2026-05-29 13:15:04 | INFO | support_agent.graph | ClassifyComplaint node completed for ticket=TICKET-C001 with is_complaint=True
2026-05-29 13:15:04 | INFO | support_agent.graph | GatherClassifications node started for ticket=TICKET-C001 (is_complaint=True, category=technical_question, urgency=high)
2026-05-29 13:15:04 | INFO | support_agent.graph | EscalateComplaint node started for ticket=TICKET-C001 (category=technical_question, urgency=high)
2026-05-29 13:15:04 | INFO | support_agent.graph | EscalateComplaint node completed for ticket=TICKET-C001
2026-05-29 13:15:04 | INFO | __main__ | Final trace: StateSnapshot(values={'messages': [HumanMessage(content='Третий день не могу войти в аккаунт, поддержка молчит.', additional_kwargs={}, response_metadata={}, id='ff6b4e29-cc64-4e8a-894d-7b2ced37e767')], 'ticket_id': 'TICKET-C001', 'user_text': 'Третий день не могу войти в аккаунт, поддержка молчит.', 'category': 'technical_question', 'is_complaint': True, 'urgency': 'high', 'final_response': 'Ваше обращение передано оператору. Специалист свяжется с вами для детального рассмотрения ситуации.', 'quality_threshold': 0.75, 'model_retry_count': 0, 'max_model_retries': 1, 'escalated': True, 'escalation_reason': '{"reason": "complaint_detected", "user_query": "Третий день не могу войти в аккаунт, поддержка молчит.", "category": "technical_question", "urgency": "high"}', 'errors': [], 'events': [{'timestamp': '2026-05-29T10:15:01.910844+00:00', 'ticket_id': 'TICKET-C001', 'node': 'ReceiveRequest', 'event': 'request_received', 'payload': {'ticket_id': 'TICKET-C001'}}, {'timestamp': '2026-05-29T10:15:04.468423+00:00', 'ticket_id': 'TICKET-C001', 'node': 'ClassifyCategory', 'event': 'classification_done', 'payload': {'category': 'technical_question'}}, {'timestamp': '2026-05-29T10:15:04.743871+00:00', 'ticket_id': 'TICKET-C001', 'node': 'ClassifyComplaint', 'event': 'classification_done', 'payload': {'is_complaint': True}}, {'timestamp': '2026-05-29T10:15:04.488238+00:00', 'ticket_id': 'TICKET-C001', 'node': 'ClassifyUrgency', 'event': 'classification_done', 'payload': {'urgency': 'high'}}, {'timestamp': '2026-05-29T10:15:04.745830+00:00', 'ticket_id': 'TICKET-C001', 'node': 'GatherClassifications', 'event': 'gather_completed', 'payload': {'is_complaint': True, 'category': 'technical_question', 'urgency': 'high'}}, {'timestamp': '2026-05-29T10:15:04.747998+00:00', 'ticket_id': 'TICKET-C001', 'node': 'EscalateComplaint', 'event': 'escalated', 'payload': {'reason': '{"reason": "complaint_detected", "user_query": "Третий день не могу войти в аккаунт, поддержка молчит.", "category": "technical_question", "urgency": "high"}'}}]}, next=(), config={'configurable': {'thread_id': 'TICKET-C001', 'checkpoint_ns': '', 'checkpoint_id': '1f15b474-2d87-6b38-8004-ffa5f58b100e'}}, metadata={'source': 'loop', 'step': 4, 'parents': {}}, created_at='2026-05-29T10:15:04.748510+00:00', parent_config={'configurable': {'thread_id': 'TICKET-C001', 'checkpoint_ns': '', 'checkpoint_id': '1f15b474-2d83-6fd8-8003-780465356dfc'}}, tasks=(), interrupts=())
2026-05-29 13:15:04 | INFO | support_agent.graph | ReceiveRequest node started for ticket=TICKET-C002
2026-05-29 13:15:04 | INFO | support_agent.graph | ClassifyCategory node started for ticket=TICKET-C002
2026-05-29 13:15:04 | INFO | support_agent.graph | ClassifyUrgency node started for ticket=TICKET-C002
2026-05-29 13:15:04 | INFO | support_agent.graph | ClassifyComplaint node started for ticket=TICKET-C002
2026-05-29 13:15:05 | INFO | support_agent.graph | ClassifyComplaint node completed for ticket=TICKET-C002 with is_complaint=True
2026-05-29 13:15:05 | INFO | support_agent.graph | ClassifyUrgency node completed for ticket=TICKET-C002 with urgency=high
2026-05-29 13:15:05 | INFO | support_agent.graph | ClassifyCategory node completed for ticket=TICKET-C002 with category=technical_question
2026-05-29 13:15:05 | INFO | support_agent.graph | GatherClassifications node started for ticket=TICKET-C002 (is_complaint=True, category=technical_question, urgency=high)
2026-05-29 13:15:05 | INFO | support_agent.graph | EscalateComplaint node started for ticket=TICKET-C002 (category=technical_question, urgency=high)
2026-05-29 13:15:05 | INFO | support_agent.graph | EscalateComplaint node completed for ticket=TICKET-C002
